locality,region,pop,proper
adak,ak,160,Adak
akhiok,ak,66,Akhiok
akiachak,ak,415,Akiachak
akiak,ak,461,Akiak
akutan,ak,1584,Akutan
alakanuk,ak,758,Alakanuk
aleknagik,ak,206,Aleknagik
allakaket,ak,178,Allakaket
ambler,ak,265,Ambler
anaktuvuk-pass,ak,427,Anaktuvuk Pass
anchor-point,ak,2759,Anchor Point
anchorage,ak,288702,Anchorage
anderson,ak,174,Anderson
angoon,ak,347,Angoon
aniak,ak,508,Aniak
anvik,ak,73,Anvik
arctic-village,ak,199,Arctic Village
atka,ak,52,Atka
atqasuk,ak,273,Atqasuk
barrow,ak,4879,Barrow
beaver,ak,87,Beaver
bethel,ak,6349,Bethel
bettles,ak,23,Bettles
bettles-field,ak,27,Bettles Field
big-lake,ak,4028,Big Lake
brevig-mission,ak,421,Brevig Mission
buckland,ak,529,Buckland
cantwell,ak,117,Cantwell
central,ak,108,Central
chalkyitsik,ak,95,Chalkyitsik
chefornak,ak,504,Chefornak
chevak,ak,953,Chevak
chicken,ak,8,Chicken
chignik,ak,91,Chignik
chignik-lagoon,ak,39,Chignik Lagoon
chignik-lake,ak,30,Chignik Lake
chitina,ak,73,Chitina
chuathbaluk,ak,102,Chuathbaluk
chugiak,ak,7382,Chugiak
circle,ak,45,Circle
clam-gulch,ak,487,Clam Gulch
clarks-point,ak,65,Clarks Point
clear,ak,49,Clear
coffman-cove,ak,126,Coffman Cove
cold-bay,ak,52,Cold Bay
cooper-landing,ak,234,Cooper Landing
copper-center,ak,843,Copper Center
cordova,ak,2537,Cordova
craig,ak,1038,Craig
crooked-creek,ak,28,Crooked Creek
deering,ak,175,Deering
delta-junction,ak,941,Delta Junction
denali-national-park,ak,893,Denali National Park
dillingham,ak,2210,Dillingham
diomede,ak,82,Diomede
douglas,ak,2169,Douglas
dutch-harbor,ak,766,Dutch Harbor
eagle,ak,83,Eagle
eagle-river,ak,28124,Eagle River
edna-bay,ak,25,Edna Bay
eek,ak,399,Eek
egegik,ak,37,Egegik
eielson-afb,ak,3149,Eielson Afb
ekwok,ak,106,Ekwok
elfin-cove,ak,16,Elfin Cove
elim,ak,366,Elim
emmonak,ak,830,Emmonak
ester,ak,562,Ester
fairbanks,ak,32174,Fairbanks
false-pass,ak,397,False Pass
fort-wainwright,ak,8807,Fort Wainwright
fort-yukon,ak,422,Fort Yukon
gakona,ak,379,Gakona
galena,ak,467,Galena
gambell,ak,632,Gambell
girdwood,ak,1889,Girdwood
glennallen,ak,1167,Glennallen
golovin,ak,171,Golovin
goodnews-bay,ak,259,Goodnews Bay
grayling,ak,207,Grayling
gustavus,ak,636,Gustavus
haines,ak,2146,Haines
healy,ak,812,Healy
holy-cross,ak,175,Holy Cross
homer,ak,5714,Homer
hoonah,ak,971,Hoonah
hooper-bay,ak,1375,Hooper Bay
hope,ak,147,Hope
houston,ak,2063,Houston
hughes,ak,85,Hughes
huslia,ak,302,Huslia
hydaburg,ak,379,Hydaburg
hyder,ak,25,Hyder
iliamna,ak,235,Iliamna
indian,ak,322,Indian
jber,ak,12694,Jber
juneau,ak,31965,Juneau
kachemak,ak,581,Kachemak
kake,ak,541,Kake
kaktovik,ak,285,Kaktovik
kalskag,ak,253,Kalskag
kaltag,ak,159,Kaltag
karluk,ak,27,Karluk
kasaan,ak,29,Kasaan
kasigluk,ak,389,Kasigluk
kasilof,ak,1895,Kasilof
kenai,ak,7533,Kenai
ketchikan,ak,8107,Ketchikan
kiana,ak,437,Kiana
king-cove,ak,759,King Cove
king-salmon,ak,452,King Salmon
kipnuk,ak,572,Kipnuk
kivalina,ak,428,Kivalina
klawock,ak,715,Klawock
kobuk,ak,177,Kobuk
kodiak,ak,5484,Kodiak
kotlik,ak,659,Kotlik
kotzebue,ak,3028,Kotzebue
koyuk,ak,305,Koyuk
koyukuk,ak,97,Koyukuk
kupreanof,ak,20,Kupreanof
kwethluk,ak,801,Kwethluk
kwigillingok,ak,589,Kwigillingok
lake-minchumina,ak,14,Lake Minchumina
larsen-bay,ak,33,Larsen Bay
levelock,ak,28,Levelock
lower-kalskag,ak,277,Lower Kalskag
manley-hot-springs,ak,17,Manley Hot Springs
manokotak,ak,477,Manokotak
marshall,ak,494,Marshall
mcgrath,ak,294,McGrath
mekoryuk,ak,206,Mekoryuk
metlakatla,ak,1465,Metlakatla
meyers-chuck,ak,1,Meyers Chuck
minto,ak,113,Minto
moose-pass,ak,216,Moose Pass
mountain-village,ak,622,Mountain Village
naknek,ak,418,Naknek
napakiak,ak,354,Napakiak
napaskiak,ak,506,Napaskiak
nenana,ak,353,Nenana
new-stuyahok,ak,506,New Stuyahok
newhalen,ak,161,Newhalen
nightmute,ak,303,Nightmute
nikiski,ak,114,Nikiski
nikolai,ak,88,Nikolai
nikolski,ak,12,Nikolski
ninilchik,ak,1234,Ninilchik
noatak,ak,536,Noatak
nome,ak,3665,Nome
nondalton,ak,127,Nondalton
noorvik,ak,669,Noorvik
north-pole,ak,2298,North Pole
northway,ak,430,Northway
nuiqsut,ak,510,Nuiqsut
nulato,ak,233,Nulato
nunam-iqua,ak,219,Nunam Iqua
nunapitchuk,ak,594,Nunapitchuk
old-harbor,ak,213,Old Harbor
ouzinkie,ak,105,Ouzinkie
palmer,ak,6152,Palmer
pedro-bay,ak,13,Pedro Bay
pelican,ak,94,Pelican
perryville,ak,85,Perryville
petersburg,ak,3374,Petersburg
pilot-point,ak,63,Pilot Point
pilot-station,ak,619,Pilot Station
platinum,ak,55,Platinum
point-baker,ak,14,Point Baker
point-hope,ak,829,Point Hope
point-lay,ak,172,Point Lay
port-alexander,ak,74,Port Alexander
port-alsworth,ak,158,Port Alsworth
port-heiden,ak,97,Port Heiden
port-lions,ak,168,Port Lions
prudhoe-bay,ak,1423,Prudhoe Bay
quinhagak,ak,770,Quinhagak
rampart,ak,41,Rampart
red-devil,ak,12,Red Devil
ruby,ak,137,Ruby
russian-mission,ak,424,Russian Mission
saint-george,ak,61,Saint George
saint-george-island,ak,57,Saint George Island
saint-marys,ak,604,Saint Marys
saint-michael,ak,447,Saint Michael
saint-paul,ak,397,Saint Paul
saint-paul-island,ak,349,Saint Paul Island
salcha,ak,974,Salcha
sand-point,ak,583,Sand Point
savoonga,ak,822,Savoonga
saxman,ak,382,Saxman
scammon-bay,ak,605,Scammon Bay
selawik,ak,785,Selawik
seldovia,ak,235,Seldovia
seward,ak,2787,Seward
shageluk,ak,100,Shageluk
shaktoolik,ak,210,Shaktoolik
shishmaref,ak,566,Shishmaref
shungnak,ak,263,Shungnak
sitka,ak,8410,Sitka
skagway,ak,1303,Skagway
skwentna,ak,119,Skwentna
sleetmute,ak,73,Sleetmute
soldotna,ak,4440,Soldotna
south-naknek,ak,53,South Naknek
stebbins,ak,623,Stebbins
sterling,ak,3473,Sterling
stevens-village,ak,9,Stevens Village
sutton,ak,1342,Sutton
takotna,ak,58,Takotna
talkeetna,ak,1748,Talkeetna
tanacross,ak,136,Tanacross
tanana,ak,242,Tanana
tatitlek,ak,40,Tatitlek
teller,ak,244,Teller
tenakee-springs,ak,114,Tenakee Springs
thorne-bay,ak,473,Thorne Bay
togiak,ak,807,Togiak
tok,ak,1719,Tok
toksook-bay,ak,655,Toksook Bay
