ZIP Code,ZIP Code Place Name,County,State
00501,Holtsville,Suffolk County,New York
00544,Holtsville,Suffolk County,New York
01001,Agawam,Hampden County,Massachusetts
01002,Amherst,Hampshire County,Massachusetts
01003,Amherst,Hampshire County,Massachusetts
01004,Amherst,Hampshire County,Massachusetts
01005,Barre,Worcester County,Massachusetts
01007,Belchertown,Hampshire County,Massachusetts
01008,Blandford,Hampden County,Massachusetts
01009,Bondsville,Hampden County,Massachusetts
01010,Brimfield,Hampden County,Massachusetts
01011,Chester,Hampden County,Massachusetts
01012,Chesterfield,Hampshire County,Massachusetts
01013,Chicopee,Hampden County,Massachusetts
01014,Chicopee,Hampden County,Massachusetts
01020,Chicopee,Hampden County,Massachusetts
01021,Chicopee,Hampden County,Massachusetts
01022,Chicopee,Hampden County,Massachusetts
01026,Cummington,Hampshire County,Massachusetts
01027,Easthampton,Hampshire County,Massachusetts
01028,East Longmeadow,Hampden County,Massachusetts
01029,East Otis,Berkshire County,Massachusetts
01030,Feeding Hills,Hampden County,Massachusetts
01031,Gilbertville,Worcester County,Massachusetts
01032,Goshen,Hampshire County,Massachusetts
01033,Granby,Hampshire County,Massachusetts
01034,Granville,Hampden County,Massachusetts
01035,Hadley,Hampshire County,Massachusetts
01036,Hampden,Hampden County,Massachusetts
01037,Hardwick,Worcester County,Massachusetts
01038,Hatfield,Hampshire County,Massachusetts
01039,Haydenville,Hampshire County,Massachusetts
01040,Holyoke,Hampden County,Massachusetts
01041,Holyoke,Hampden County,Massachusetts
01050,Huntington,Hampshire County,Massachusetts
01053,Leeds,Hampshire County,Massachusetts
01054,Leverett,Franklin County,Massachusetts
01056,Ludlow,Hampden County,Massachusetts
01057,Monson,Hampden County,Massachusetts
01059,North Amherst,Hampshire County,Massachusetts
01060,Northampton,Hampshire County,Massachusetts
01061,Northampton,Hampshire County,Massachusetts
01062,Florence,Hampshire County,Massachusetts
01063,Northampton,Hampshire County,Massachusetts
01066,North Hatfield,Hampshire County,Massachusetts
01068,Oakham,Worcester County,Massachusetts
01069,Palmer,Hampden County,Massachusetts
01070,Plainfield,Hampshire County,Massachusetts
01071,Russell,Hampden County,Massachusetts
01072,Shutesbury,Franklin County,Massachusetts
01073,Southampton,Hampshire County,Massachusetts
01074,South Barre,Worcester County,Massachusetts
01075,South Hadley,Hampshire County,Massachusetts
01077,Southwick,Hampden County,Massachusetts
01079,Thorndike,Hampden County,Massachusetts
01080,Three Rivers,Hampden County,Massachusetts
01081,Wales,Hampden County,Massachusetts
01082,Ware,Hampshire County,Massachusetts
01083,Warren,Worcester County,Massachusetts
01084,West Chesterfield,Hampshire County,Massachusetts
01085,Westfield,Hampden County,Massachusetts
01086,Westfield,Hampden County,Massachusetts
01088,West Hatfield,Hampshire County,Massachusetts
01089,West Springfield,Hampden County,Massachusetts
01090,West Springfield,Hampden County,Massachusetts
01092,West Warren,Worcester County,Massachusetts
01093,Whately,Franklin County,Massachusetts
01094,Wheelwright,Worcester County,Massachusetts
01095,Wilbraham,Hampden County,Massachusetts
01096,Williamsburg,Hampshire County,Massachusetts
01097,Woronoco,Hampden County,Massachusetts
01098,Worthington,Hampshire County,Massachusetts
01101,Springfield,Hampden County,Massachusetts
01102,Springfield,Hampden County,Massachusetts
01103,Springfield,Hampden County,Massachusetts
01104,Springfield,Hampden County,Massachusetts
01105,Springfield,Hampden County,Massachusetts
01106,Longmeadow,Hampden County,Massachusetts
01107,Springfield,Hampden County,Massachusetts
01108,Springfield,Hampden County,Massachusetts
01109,Springfield,Hampden County,Massachusetts
01111,Springfield,Hampden County,Massachusetts
01115,Springfield,Hampden County,Massachusetts
01116,Longmeadow,Hampden County,Massachusetts
01118,Springfield,Hampden County,Massachusetts
01119,Springfield,Hampden County,Massachusetts
01128,Springfield,Hampden County,Massachusetts
01129,Springfield,Hampden County,Massachusetts
01138,Springfield,Hampden County,Massachusetts
01139,Springfield,Hampden County,Massachusetts
01144,Springfield,Hampden County,Massachusetts
01151,Indian Orchard,Hampden County,Massachusetts
01152,Springfield,Hampden County,Massachusetts
01199,Springfield,Hampden County,Massachusetts
01201,Pittsfield,Berkshire County,Massachusetts
01202,Pittsfield,Berkshire County,Massachusetts
01203,Pittsfield,Berkshire County,Massachusetts
01220,Adams,Berkshire County,Massachusetts
01222,Ashley Falls,Berkshire County,Massachusetts
01223,Becket,Berkshire County,Massachusetts
01224,Berkshire,Berkshire County,Massachusetts
01225,Cheshire,Berkshire County,Massachusetts
01226,Dalton,Berkshire County,Massachusetts
01227,Dalton,Berkshire County,Massachusetts
01229,Glendale,Berkshire County,Massachusetts
01230,Great Barrington,Berkshire County,Massachusetts
01235,Hinsdale,Berkshire County,Massachusetts
01236,Housatonic,Berkshire County,Massachusetts
01237,Lanesborough,Berkshire County,Massachusetts
01238,Lee,Berkshire County,Massachusetts
01240,Lenox,Berkshire County,Massachusetts
01242,Lenox Dale,Berkshire County,Massachusetts
01243,Middlefield,Hampshire County,Massachusetts
01244,Mill River,Berkshire County,Massachusetts
01245,Monterey,Berkshire County,Massachusetts
01247,North Adams,Berkshire County,Massachusetts
01252,North Egremont,Berkshire County,Massachusetts
01253,Otis,Berkshire County,Massachusetts
01254,Richmond,Berkshire County,Massachusetts
01255,Sandisfield,Berkshire County,Massachusetts
01256,Savoy,Berkshire County,Massachusetts
01257,Sheffield,Berkshire County,Massachusetts
01258,South Egremont,Berkshire County,Massachusetts
01259,Southfield,Berkshire County,Massachusetts
01260,South Lee,Berkshire County,Massachusetts
01262,Stockbridge,Berkshire County,Massachusetts
01263,Stockbridge,Berkshire County,Massachusetts
01264,Tyringham,Berkshire County,Massachusetts
01266,West Stockbridge,Berkshire County,Massachusetts
01267,Williamstown,Berkshire County,Massachusetts
01270,Windsor,Berkshire County,Massachusetts
01301,Greenfield,Franklin County,Massachusetts
01302,Greenfield,Franklin County,Massachusetts
01330,Ashfield,Franklin County,Massachusetts
01331,Athol,Worcester County,Massachusetts
01337,Bernardston,Franklin County,Massachusetts
01338,Buckland,Franklin County,Massachusetts
01339,Charlemont,Franklin County,Massachusetts
01340,Colrain,Franklin County,Massachusetts
01341,Conway,Franklin County,Massachusetts
01342,Deerfield,Franklin County,Massachusetts
01343,Drury,Berkshire County,Massachusetts
01344,Erving,Franklin County,Massachusetts
01346,Heath,Franklin County,Massachusetts
01347,Lake Pleasant,Franklin County,Massachusetts
01349,Millers Falls,Franklin County,Massachusetts
01350,Monroe Bridge,Franklin County,Massachusetts
01351,Montague,Franklin County,Massachusetts
01354,Gill,Franklin County,Massachusetts
01355,New Salem,Franklin County,Massachusetts
01360,Northfield,Franklin County,Massachusetts
01364,Orange,Franklin County,Massachusetts
01366,Petersham,Worcester County,Massachusetts
01367,Rowe,Franklin County,Massachusetts
01368,Royalston,Worcester County,Massachusetts
01370,Shelburne Falls,Franklin County,Massachusetts
01373,South Deerfield,Franklin County,Massachusetts
01375,Sunderland,Franklin County,Massachusetts
01376,Turners Falls,Franklin County,Massachusetts
01378,Warwick,Franklin County,Massachusetts
01379,Wendell,Franklin County,Massachusetts
01380,Wendell Depot,Franklin County,Massachusetts
01420,Fitchburg,Worcester County,Massachusetts
01430,Ashburnham,Worcester County,Massachusetts
01431,Ashby,Middlesex County,Massachusetts
01432,Ayer,Middlesex County,Massachusetts
01434,Devens,Worcester County,Massachusetts
01436,Baldwinville,Worcester County,Massachusetts
01438,East Templeton,Worcester County,Massachusetts
01440,Gardner,Worcester County,Massachusetts
01441,Westminster,Worcester County,Massachusetts
01450,Groton,Middlesex County,Massachusetts
01451,Harvard,Worcester County,Massachusetts
01452,Hubbardston,Worcester County,Massachusetts
01453,Leominster,Worcester County,Massachusetts
01460,Littleton,Middlesex County,Massachusetts
01462,Lunenburg,Worcester County,Massachusetts
01463,Pepperell,Middlesex County,Massachusetts
01464,Shirley,Middlesex County,Massachusetts
01467,Still River,Worcester County,Massachusetts
01468,Templeton,Worcester County,Massachusetts
01469,Townsend,Middlesex County,Massachusetts
01470,Groton,Middlesex County,Massachusetts
01471,Groton,Middlesex County,Massachusetts
01472,West Groton,Middlesex County,Massachusetts
01473,Westminster,Worcester County,Massachusetts
01474,West Townsend,Middlesex County,Massachusetts
01475,Winchendon,Worcester County,Massachusetts
01501,Auburn,Worcester County,Massachusetts
01503,Berlin,Worcester County,Massachusetts
01504,Blackstone,Worcester County,Massachusetts
01505,Boylston,Worcester County,Massachusetts
01506,Brookfield,Worcester County,Massachusetts
01507,Charlton,Worcester County,Massachusetts
01508,Charlton City,Worcester County,Massachusetts
01509,Charlton Depot,Worcester County,Massachusetts
01510,Clinton,Worcester County,Massachusetts
01515,East Brookfield,Worcester County,Massachusetts
01516,Douglas,Worcester County,Massachusetts
01518,Fiskdale,Worcester County,Massachusetts
01519,Grafton,Worcester County,Massachusetts
01520,Holden,Worcester County,Massachusetts
01521,Holland,Hampden County,Massachusetts
01522,Jefferson,Worcester County,Massachusetts
01523,Lancaster,Worcester County,Massachusetts
01524,Leicester,Worcester County,Massachusetts
01525,Linwood,Worcester County,Massachusetts
01526,Manchaug,Worcester County,Massachusetts
01527,Millbury,Worcester County,Massachusetts
01529,Millville,Worcester County,Massachusetts
01531,New Braintree,Worcester County,Massachusetts
01532,Northborough,Worcester County,Massachusetts
01534,Northbridge,Worcester County,Massachusetts
01535,North Brookfield,Worcester County,Massachusetts
01536,North Grafton,Worcester County,Massachusetts
01537,North Oxford,Worcester County,Massachusetts
01538,North Uxbridge,Worcester County,Massachusetts
01540,Oxford,Worcester County,Massachusetts
01541,Princeton,Worcester County,Massachusetts
01542,Rochdale,Worcester County,Massachusetts
01543,Rutland,Worcester County,Massachusetts
01545,Shrewsbury,Worcester County,Massachusetts
01546,Shrewsbury,Worcester County,Massachusetts
01550,Southbridge,Worcester County,Massachusetts
01560,South Grafton,Worcester County,Massachusetts
01561,South Lancaster,Worcester County,Massachusetts
01562,Spencer,Worcester County,Massachusetts
01564,Sterling,Worcester County,Massachusetts
01566,Sturbridge,Worcester County,Massachusetts
01568,Upton,Worcester County,Massachusetts
01569,Uxbridge,Worcester County,Massachusetts
01570,Webster,Worcester County,Massachusetts
01571,Dudley,Worcester County,Massachusetts
01581,Westborough,Worcester County,Massachusetts
01583,West Boylston,Worcester County,Massachusetts
01585,West Brookfield,Worcester County,Massachusetts
01586,West Millbury,Worcester County,Massachusetts
01588,Whitinsville,Worcester County,Massachusetts
01590,Sutton,Worcester County,Massachusetts
01601,Worcester,Worcester County,Massachusetts
01602,Worcester,Worcester County,Massachusetts
01603,Worcester,Worcester County,Massachusetts
01604,Worcester,Worcester County,Massachusetts
01605,Worcester,Worcester County,Massachusetts
01606,Worcester,Worcester County,Massachusetts
01607,Worcester,Worcester County,Massachusetts
01608,Worcester,Worcester County,Massachusetts
01609,Worcester,Worcester County,Massachusetts
01610,Worcester,Worcester County,Massachusetts
01611,Cherry Valley,Worcester County,Massachusetts
01612,Paxton,Worcester County,Massachusetts
01613,Worcester,Worcester County,Massachusetts
01614,Worcester,Worcester County,Massachusetts
01615,Worcester,Worcester County,Massachusetts
01653,Worcester,Worcester County,Massachusetts
01655,Worcester,Worcester County,Massachusetts
01701,Framingham,Middlesex County,Massachusetts
01702,Framingham,Middlesex County,Massachusetts
01703,Framingham,Middlesex County,Massachusetts
01704,Framingham,Middlesex County,Massachusetts
01705,Framingham,Middlesex County,Massachusetts
01718,Acton,Middlesex County,Massachusetts
01719,Boxborough,Middlesex County,Massachusetts
01720,Acton,Middlesex County,Massachusetts
01721,Ashland,Middlesex County,Massachusetts
01730,Bedford,Middlesex County,Massachusetts
01731,Hanscom AFB,Middlesex County,Massachusetts
01740,Bolton,Worcester County,Massachusetts
01741,Carlisle,Middlesex County,Massachusetts
01742,Concord,Middlesex County,Massachusetts
01745,Fayville,Worcester County,Massachusetts
01746,Holliston,Middlesex County,Massachusetts
01747,Hopedale,Worcester County,Massachusetts
01748,Hopkinton,Middlesex County,Massachusetts
01749,Hudson,Middlesex County,Massachusetts
01752,Marlborough,Middlesex County,Massachusetts
01754,Maynard,Middlesex County,Massachusetts
01756,Mendon,Worcester County,Massachusetts
01757,Milford,Worcester County,Massachusetts
01760,Natick,Middlesex County,Massachusetts
01770,Sherborn,Middlesex County,Massachusetts
01772,Southborough,Worcester County,Massachusetts
